COMMIT_CD,EVENT_ID,EVENT_NAME,EVENT_START_TS_PT,LOB,SUB_LOB,GEO,SALES_ORG_CD,COUNTRY,PROGRAM_CD,AOS_ORDERS_PLACED,AOS_ORDERS_CANCELLED,SAP_ORDERS_INDUCTED
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Cases AB,Europe,Western Europe,Germany,R991,W1730283099,W1730283099,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16 Pro/Pro Max,Europe,Western Europe,Germany,D93,W1406186162,,AEH7643063
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1462461697,,AEH7005848
9006,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,Band Accessories AB,Europe,Western Europe,UK,B566B,W1303774382,,AEH7954127
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1387288255,,AEH7975135
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,Western Europe,UK,B768M,W1309184345,,AEH7946349
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1375699191,,AEH7020989
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Accys 3PP,R.PAC,ANZ,Australia,,W1501210744,,AEH6937502
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,France,J713,W1381708208,W1381708208,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,France,J713,W1376188406,W1376188406,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1320029265,,AEH7953603
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,App-Enabled Accys AB,AMR,US,USA,B389,W1353175606,,AEH7577241
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,Canada,Canada,B768M,W1376825227,,AEH7192705
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,France,J713,W1394769808,W1394769808,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,UK,J713,W1361391786,,AEH8127768
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,ALAC,Mexico,J713,W1462378528,,AEH7685650
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Greater China,Greater China,China mainland,B768M,W1383699696,,AEH7943908
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,France,J713,W1308535335,,AEH8108651
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1382077552,,AEH7701182
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16e,AMR,US,USA,V59,W1325538288,,AEH7687033
24,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Air,Greater China,Greater China,Taiwan,J607,W1555891116,,AEH6913837
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,Band Accessories AB,AMR,US,USA,B766B,W1366166526,,AEH6897847
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,Band Accessories AB,Europe,Western Europe,France,B721C,W1380922905,W1380922905,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1436465140,,AEH6975182
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1300935358,,AEH8075291
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,Western Europe,France,B768M,W1385665856,,AEH8145953
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16/Plus,Europe,Western Europe,Italy,D47,W1736897852,,AEH7479392
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,Canada,Canada,B768M,W1382431639,,AEH7961837
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1357160556,,AEH6892049
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,ALAC,Mexico,J713,W1350940387,,AEH8013297
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16/Plus,Japan,Japan,Japan,D47,W1391066194,,AEH8087010
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,Germany,J715,W1375747999,,AEH8205767
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPad Keyboard,AMR,US,USA,R428,W1528092578,,AEH6897770
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPad Keyboard,AMR,US,USA,R428,W1309704120,,AEH7695822
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Air,AMR,US,USA,J607,W1332455153,,AEH7915322
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Cases AB,AMR,US,USA,R991C,W1320086341,,AEH7938615
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Japan,Japan,Japan,J713,W1441581424,W1441581424,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1323044920,,AEH7758976
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,Canada,Canada,B768M,W1346029088,,AEH8062387
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Accys 3PP,Europe,Western Europe,UK,,W1403082234,,AEH7014083
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Pro 13in,AMR,US,USA,J720,W1462427451,,AEH6933916
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1360154906,,AEH7678653
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J715,W1787807264,,AEH7675710
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Cases AB,AMR,US,USA,R981,W1466396035,,AEH7065102
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,Canada,Canada,B768M,W1370144805,,AEH7981955
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Cases AB,AMR,US,USA,R995,W1332371457,,AEH7753101
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,Europe,Western Europe,UK,J715,W1595255335,,AEH7163010
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,Western Europe,France,B768M,W1373601488,W1373601488,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,Western Europe,France,B768M,W1326658187,W1326658187,
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Accys 3PP,AMR,US,USA,,W1517212967,,AEH7008651
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Accys 3PP,AMR,US,USA,,W1371709068,,AEH7975422
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1489783721,,AEH7715789
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1389147229,,AEH7191550
24,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Greater China,Greater China,Taiwan,B768M,W1389957498,,AEH7768468
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,Canada,Canada,J713,W1443320749,,AEH7231614
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1307378231,,AEH7123991
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1365418065,,AEH7796137
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Accys 3PP,AMR,US,USA,,W1305693849,,AEH7901978
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,Mac Accys 3PP,Greater China,Greater China,Hong Kong,,W1381361011,,AEH7584183
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,ALAC,Mexico,B768M,W1381157013,,AEH7244520
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1448442584,,AEH7174475
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1492312300,,AEH7203165
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1391366048,,AEH7623685
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16/Plus,R.PAC,ANZ,Australia,D47,W1472348642,,AEH7784882
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,App-Enabled Accys AB,AMR,US,USA,R494B,W1332243393,,AEH7242180
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1359896374,,AEH6943998
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Watch,SE 2,Japan,Japan,Japan,N143SRB,W1314053402,,AEH8071895
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,Western Europe,France,B768M,W1309896880,,AEH8126422
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,R.PAC,ANZ,Australia,B768M,W1485919128,,AEH7256180
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1492363824,,AEH7539316
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1383018916,,AEH7963926
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,Canada,Canada,J713,W1375207930,,AEH7192306
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Greater China,Greater China,China mainland,B768M,W1785276958,,AEH7237679
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1403057004,,AEH7645085
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,AMR,US,USA,J713,W1446191946,,AEH7588495
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,App-Enabled Accys AB,AMR,Canada,Canada,B389,W1418018945,,AEH7270335
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Europe,IMMEA,Turkiye,B768M,W1311998267,,AEH7926771
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,App-Enabled Accys AB,AMR,US,USA,B389,W1346421370,,AEH8086114
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Air,AMR,US,USA,J607,W1553043969,,AEH7247710
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,ALAC,Mexico,B768M,W1374079027,,AEH8225847
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Accessories,iPhone Cases AB,Europe,Western Europe,Spain,R695,W1397456958,,AEH7176776
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16e,AMR,US,USA,V59,W1307743537,,AEH8165765
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1337765540,,AEH7897717
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1428451459,,AEH7014584
24,11,DOUYIN Test Event,2025-08-22 19:00:00.000,Mac,MacBook Air,R.PAC,South Asia,Malaysia,J713,W1546951838,,AEH6905674
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,Greater China,Greater China,Taiwan,B768M,W1393234726,,AEH8081979
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,AirPods,AirPods Non-Pro,AMR,US,USA,B768M,W1572196867,,AEH7237591
24,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Air,R.PAC,South Asia,Malaysia,J607,W1381475262,,AEH7091518
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPad,iPad Air,Europe,Western Europe,Germany,J607,W1492962229,,AEH6923716
0,11,DOUYIN Test Event,2025-08-22 19:00:00.000,iPhone,iPhone 16e,Japan,Japan,Japan,V59,W1363227908,,AEH8130345
